STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/19/1990,8.28,0.16,0,0,,75,66,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/20/1990,7.83,0,0,0,,77,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/21/1990,6.26,0.03,0,0,,72,66,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/22/1990,8.5,0,0,0,,82,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/23/1990,8.72,0,0,0,,80,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/24/1990,10.74,0,0,0,,79,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/25/1990,10.96,0,0,0,,77,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/26/1990,10.29,0,0,0,,80,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/27/1990,9.62,0,0,0,,77,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/28/1990,9.17,0.05,0,0,,82,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/29/1990,7.83,0.23,0,0,,83,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/30/1990,8.95,0.03,0,0,,88,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/1/1990,8.05,0.4,0,0,,80,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/2/1990,10.29,0,0,0,,74,64,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/3/1990,10.51,0,0,0,,85,63,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/4/1990,13.87,0,0,0,,90,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/5/1990,10.29,0.01,0,0,,97,74,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/6/1990,8.05,0,0,0,,79,68,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/7/1990,9.62,0,0,0,,76,62,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/8/1990,10.07,0,0,0,,77,64,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/9/1990,10.29,0.29,0,0,,88,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/10/1990,10.07,0,0,0,,87,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/11/1990,6.49,0.04,0,0,,77,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/12/1990,10.07,0.54,0,0,,66,59,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/13/1990,8.72,0.33,0,0,,70,58,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/14/1990,7.38,0,0,0,,72,63,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/15/1990,12.08,0,0,0,,80,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/16/1990,10.74,0,0,0,,86,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/17/1990,8.95,0,0,0,,86,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/18/1990,9.84,0,0,0,,91,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/19/1990,9.62,0,0,0,,93,73,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/20/1990,9.4,0,0,0,,92,74,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/21/1990,7.38,1.29,0,0,,86,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/22/1990,5.37,0,0,0,,86,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/23/1990,8.95,0.1,0,0,,87,73,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/24/1990,8.05,0.11,0,0,,82,68,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/25/1990,7.61,0,0,0,,88,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/26/1990,8.28,0,0,0,,85,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/27/1990,8.05,0,0,0,,83,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/28/1990,8.95,0,0,0,,77,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/29/1990,7.61,0,0,0,,81,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/30/1990,6.26,0,0,0,,81,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/31/1990,8.05,1.26,0,0,,84,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/1/1990,13.2,0,0,0,,84,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/2/1990,8.72,0,0,0,,87,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/3/1990,7.38,0,0,0,,89,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/4/1990,8.05,0,0,0,,85,73,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/5/1990,10.51,0,0,0,,79,74,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/6/1990,12.53,1.93,0,0,,79,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/7/1990,7.61,0.19,0,0,,85,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/8/1990,6.49,0,0,0,,87,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/9/1990,6.49,0.03,0,0,,79,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/10/1990,7.83,0.02,0,0,,81,73,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/11/1990,6.71,1.02,0,0,,83,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/12/1990,5.59,0,0,0,,87,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/13/1990,10.96,0.42,0,0,,84,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/14/1990,8.28,0.02,0,0,,83,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/15/1990,7.61,0,0,0,,87,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/16/1990,7.61,0,0,0,,84,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/17/1990,9.17,0,0,0,,84,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/18/1990,10.29,0,0,0,,84,72,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/19/1990,10.96,0.11,0,0,,81,60,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/20/1990,14.09,0,0,0,,67,59,,
